FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast
Steven,Alzate,MID,BHA,4400000,0,0,0,0,0,0,25516,0,0,0,0,0,0,0,0,4,-1,0,0,1,0,0,0,0,0,0,0,0,0.1,10288,0,-1,0,0,0,0,0,0,0,Wolverhampton,Man Utd,Everton,Arsenal,Newcastle,0,0,0,0,0
,Amad,MID,MUN,4400000,0,0,0,0,0,0,17155,0,0,0,0,0,0,0,0,3,-1,0,0,1,0,0,0,0,0,0,0,0,0,5143,0,-1,0,0,0,0,0,0,0,Aston Villa,Brighton,West Ham,Wolverhampton,Bournemouth,0,0,0,0,0
Daniel,Amartey,DEF,LEI,3900000,0,51,2.5,6.41025641025641E-07,1.30769230769231E-05,0,207096,1,27,0,0,0,0,0,13.1,279,-6,1,51,6,0.1,0,0.3,4,0,5,0,0,0.7,239610,0,-1,0,1,1608,492,-1,0,328,Everton,Fulham,Liverpool,Newcastle,West Ham,3.4,2.7,2.4,2,2.3
Ethan,Ampadu,DEF,CHE,4400000,0,0,0,0,0,0,8140,0,0,0,0,0,0,0,0,3,-1,0,0,1,0,0,0,0,0,0,0,0,0,1467,0,-1,0,0,0,0,0,0,0,Arsenal,Bournemouth,Nottingham Forest FC,Man City,Man Utd,0,0,0,0,0
Joseph,Anang,GLK,WHU,4000000,0,0,0,0,0,0,768,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1536,0,-1,0,0,0,15,0,0,0,Crystal Palace,Man City,Man Utd,Brentford F.C.,Leeds United F.C.,0,0,0,0,0
Joachim,Andersen,DEF,CRY,4500000,1,70,2.5,5.55555555555556E-07,1.55555555555556E-05,0,565064,7,33,0,0,0,1,0,15.6,366,0,0,70,0,0.6,0,2.5,1,0,7,0,0,1.5,456425,2,-1,0,0,2422,194,0,0,423,West Ham,Tottenham,Bournemouth,Fulham,Nottingham Forest FC,2.5,1.7,2.5,2.5,2.5
Elliot,Anderson,MID,NEW,4300000,1,17,0.53125,1.23546511627907E-07,3.95348837209302E-06,0,31997,0,6,0,0,0,0,0,4,26,-2,0,17,2,0.2,0,0.7,0,0,0,0,0,0.1,24467,0,-1,0,0,203,30,0,0,50,Southampton,Arsenal,Leeds United F.C.,Brighton,Leicester,0.3,0.3,0.6,0.3,0.3
,Andre Gomes,MID,EVE,4500000,0,0,0,0,0,0,17671,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1409,0,-1,0,0,0,0,0,0,0,Leicester,Brighton,Man City,Wolverhampton,Bournemouth,0,0,0,0,0
,Andreas,MID,FUL,4400000,1,123,3.7,8.40909090909091E-07,2.79545454545455E-05,0,4153717,8,40,0,0,0,4,0,28,4801,-1,0,123,1,0.7,0,3.3,9,0,8,0,10,14.2,3433006,0,-1,0,2,2696,2675,0,0,360,Man City,Liverpool,Leicester,Southampton,Crystal Palace,5.4,3.3,3.6,3.2,2.4
,Andrey Santos,MID,CHE,4500000,0,0,0,0,0,0,394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,445,0,-1,0,0,0,0,0,0,0,Arsenal,Bournemouth,Nottingham Forest FC,Man City,Man Utd,0,0,0,0,0
